unadjusted_close,ticker_symbol,datetime,split,dividend,backward_adj_close
361.2,TSLA,2020-03-18,1.0,0.0,24.08
427.65000000000003,TSLA,2020-03-19,1.0,0.0,28.51
427.5,TSLA,2020-03-20,1.0,0.0,28.5
434.25,TSLA,2020-03-23,1.0,0.0,28.95
505.05,TSLA,2020-03-24,1.0,0.0,33.67
539.25,TSLA,2020-03-25,1.0,0.0,35.95
528.15,TSLA,2020-03-26,1.0,0.0,35.21
514.35,TSLA,2020-03-27,1.0,0.0,34.29
502.19999999999993,TSLA,2020-03-30,1.0,0.0,33.48
523.95,TSLA,2020-03-31,1.0,0.0,34.93
481.5,TSLA,2020-04-01,1.0,0.0,32.1
454.5,TSLA,2020-04-02,1.0,0.0,30.3
480.0,TSLA,2020-04-03,1.0,0.0,32.0
516.3000000000001,TSLA,2020-04-06,1.0,0.0,34.42
545.4,TSLA,2020-04-07,1.0,0.0,36.36
548.85,TSLA,2020-04-08,1.0,0.0,36.59
573.0,TSLA,2020-04-09,1.0,0.0,38.2
651.0,TSLA,2020-04-13,1.0,0.0,43.4
709.9499999999999,TSLA,2020-04-14,1.0,0.0,47.33
729.9,TSLA,2020-04-15,1.0,0.0,48.66
745.2,TSLA,2020-04-16,1.0,0.0,49.68
753.9,TSLA,2020-04-17,1.0,0.0,50.26
746.4,TSLA,2020-04-20,1.0,0.0,49.76
686.7,TSLA,2020-04-21,1.0,0.0,45.78
732.1500000000001,TSLA,2020-04-22,1.0,0.0,48.81
705.6,TSLA,2020-04-23,1.0,0.0,47.04
725.1,TSLA,2020-04-24,1.0,0.0,48.34
798.75,TSLA,2020-04-27,1.0,0.0,53.25
769.0500000000001,TSLA,2020-04-28,1.0,0.0,51.27
800.55,TSLA,2020-04-29,1.0,0.0,53.37
781.95,TSLA,2020-04-30,1.0,0.0,52.13
701.25,TSLA,2020-05-01,1.0,0.0,46.75
761.25,TSLA,2020-05-04,1.0,0.0,50.75
768.15,TSLA,2020-05-05,1.0,0.0,51.21
782.5500000000001,TSLA,2020-05-06,1.0,0.0,52.17
780.0,TSLA,2020-05-07,1.0,0.0,52.0
819.45,TSLA,2020-05-08,1.0,0.0,54.63
811.35,TSLA,2020-05-11,1.0,0.0,54.09
809.4,TSLA,2020-05-12,1.0,0.0,53.96
790.9499999999999,TSLA,2020-05-13,1.0,0.0,52.73
803.4000000000001,TSLA,2020-05-14,1.0,0.0,53.56
799.2,TSLA,2020-05-15,1.0,0.0,53.28
813.6,TSLA,2020-05-18,1.0,0.0,54.24
