unadjusted_close,ticker_symbol,datetime,split,dividend,forward_adj_close
151.28,AAPL,2021-11-05,1.0,0.22,631.8
150.44,AAPL,2021-11-08,1.0,0.0,629.21
150.81,AAPL,2021-11-09,1.0,0.0,630.76
147.92,AAPL,2021-11-10,1.0,0.0,618.67
147.87,AAPL,2021-11-11,1.0,0.0,618.46
149.99,AAPL,2021-11-12,1.0,0.0,627.33
150.0,AAPL,2021-11-15,1.0,0.0,627.37
151.0,AAPL,2021-11-16,1.0,0.0,631.55
153.49,AAPL,2021-11-17,1.0,0.0,641.97
157.87,AAPL,2021-11-18,1.0,0.0,660.29
160.55,AAPL,2021-11-19,1.0,0.0,671.49
161.02,AAPL,2021-11-22,1.0,0.0,673.46
161.41,AAPL,2021-11-23,1.0,0.0,675.09
161.94,AAPL,2021-11-24,1.0,0.0,677.31
156.81,AAPL,2021-11-26,1.0,0.0,655.85
160.24,AAPL,2021-11-29,1.0,0.0,670.2
165.3,AAPL,2021-11-30,1.0,0.0,691.36
164.77,AAPL,2021-12-01,1.0,0.0,689.14
163.76,AAPL,2021-12-02,1.0,0.0,684.92
161.84,AAPL,2021-12-03,1.0,0.0,676.89
165.32,AAPL,2021-12-06,1.0,0.0,691.44
171.18,AAPL,2021-12-07,1.0,0.0,715.95
175.08,AAPL,2021-12-08,1.0,0.0,732.27
174.56,AAPL,2021-12-09,1.0,0.0,730.09
179.45,AAPL,2021-12-10,1.0,0.0,750.54
175.74,AAPL,2021-12-13,1.0,0.0,735.03
174.33,AAPL,2021-12-14,1.0,0.0,729.13
179.3,AAPL,2021-12-15,1.0,0.0,749.92
172.26,AAPL,2021-12-16,1.0,0.0,720.47
171.14,AAPL,2021-12-17,1.0,0.0,715.79
169.75,AAPL,2021-12-20,1.0,0.0,709.97
172.99,AAPL,2021-12-21,1.0,0.0,723.52
175.64,AAPL,2021-12-22,1.0,0.0,734.61
176.28,AAPL,2021-12-23,1.0,0.0,737.28
180.33,AAPL,2021-12-27,1.0,0.0,754.22
